# L (m)  = 2
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
   2.2500000000e-01   8.4443039478e-02   3.0000000000e+02  -4.8571672818e+05   1.4775247154e-02   1.0899393917e+00   6.7520925252e-04   6.6017833741e-28  -7.4072562970e-25   2.0325817935e-01   4.7643520442e-24   4.5412064835e-03   8.5965397699e-10   9.7924532370e-30   3.7556539322e-35   9.9828276370e-19   7.9734383374e-02   5.8788033028e-03   3.6800281148e-03   3.5250796910e-29   5.3297282682e-10   1.7624199072e-32   7.0223218872e-01
   2.3500000000e-01   8.8275599620e-02   3.0000000000e+02  -5.0763162241e+05   1.5412241981e-02   1.0865053026e+00   7.0432239812e-04   7.0895457006e-28  -4.3224107798e-25   2.0193120605e-01   4.8885606128e-24   4.7369746227e-03   8.9666741844e-10  -4.5304939574e-29   5.8428647151e-35   1.0626225283e-18   8.3363935413e-02   6.1322680832e-03   3.8386768769e-03  -3.5376420707e-30   5.5594866415e-10   1.9311942268e-32   6.9929261509e-01
   2.4500000000e-01   9.2115843035e-02   3.0000000000e+02  -5.2956284222e+05   1.6046230752e-02   1.0830882420e+00   7.3329858348e-04   7.7853583655e-28   2.7113208224e-24   2.0060449151e-01   5.0502563871e-24   4.9318171436e-03   9.3349997819e-10   1.3221871182e-28  -5.0090462481e-35   1.1285903403e-18   8.7002127825e-02   6.3845388029e-03   3.9965762220e-03   5.6465284853e-29   5.7881583794e-10   2.1082341540e-32   6.9634714839e-01
   2.5500000000e-01   9.5963889061e-02   2.9999999999e+02  -5.5150993311e+05   1.6677056891e-02   1.0796880804e+00   7.6213066645e-04   8.2003413274e-28  -2.2491684639e-24   1.9927811461e-01   5.1374602540e-24   5.1256858683e-03   9.7014235609e-10  -6.8949296547e-29  -1.6987739545e-35   1.1919837245e-18   9.0649129821e-02   6.6355532269e-03   4.1536871299e-03  -2.4704274690e-29   6.0156869296e-10   2.2935362232e-32   6.9339569709e-01
   2.6500000000e-01   9.9819858004e-02   3.0000000000e+02  -5.7347245220e+05   1.7304564927e-02   1.0763046886e+00   7.9081155474e-04   9.0605826008e-28   2.9285087048e-25   1.9795215329e-01   5.2698837788e-24   5.3185329601e-03   1.0065853238e-09   5.3200575133e-31   1.4601453863e-36   1.2573268994e-18   9.4305111225e-02   6.8852495563e-03   4.3099708559e-03   3.8144285818e-31   6.2420161397e-10   2.4871435396e-32   6.9043816891e-01
   2.7500000000e-01   1.0368387110e-01   3.0000000000e+02  -5.9544996822e+05   1.7928600507e-02   1.0729379373e+00   8.1933420676e-04   1.0661312389e-27   1.8019289408e-24   1.9662668449e-01   5.3742659656e-24   5.5103109290e-03   1.0428197259e-09  -6.1243018656e-29   2.2601387244e-35   1.3227097812e-18   9.7970242442e-02   7.1335664358e-03   4.4653889355e-03   3.7800313689e-30   6.4670902651e-10  -2.8705980197e-30   6.8747447086e-01
   2.8500000000e-01   1.0755605051e-01   3.0000000000e+02  -6.1744206152e+05   1.8549010419e-02   1.0695876973e+00   8.4769163239e-04   1.0317305899e-27   2.6385337630e-24   1.9530178414e-01   5.4775128631e-24   5.7009726373e-03   1.0788364812e-09  -8.1549386709e-29  -5.3007612183e-35   1.3883155547e-18   1.0164469443e-01   7.3804429605e-03   4.6199031886e-03  -5.8058147529e-29   6.6908539749e-10   6.7743544827e-30   6.8450450925e-01
   2.9500000000e-01   1.1143651927e-01   3.0000000001e+02  -6.3944832400e+05   1.9165642606e-02   1.0662538395e+00   8.7587689379e-04   1.0899121692e-27  -1.1336958018e-24   1.9397752721e-01   5.5978900255e-24   5.8904713049e-03   1.1146265839e-09  -4.3926007549e-29  -1.1342505639e-37   1.4557289570e-18   1.0532863865e-01   7.6258186827e-03   4.7734757242e-03  -2.9772904871e-29   6.9132523582e-10   9.6999735820e-32   6.8152818972e-01
   3.0500000000e-01   1.1532540128e-01   3.0000000000e+02  -6.6146835922e+05   1.9778346184e-02   1.0629362349e+00   9.0388310620e-04   1.1339361933e-27  -3.0872071401e-26   1.9265398764e-01   5.7186507315e-24   6.0787605147e-03   1.1501811050e-09   1.6286224165e-29  -5.7333175780e-36   1.5240546963e-18   1.0902224708e-01   7.8696336190e-03   4.9260689444e-03   3.1179282841e-29   7.1342309308e-10   3.3449740410e-32   6.7854541722e-01
   3.1500000000e-01   1.1922282126e-01   3.0000000000e+02  -6.8350178226e+05   2.0386971462e-02   1.0596347547e+00   9.3170343863e-04   1.2592455425e-27   1.0675195965e-24   1.9133123839e-01   5.8795421351e-24   6.2657942180e-03   1.1854911932e-09   4.0570001431e-28  -8.0382789348e-34   1.5917213783e-18   1.1272569212e-01   8.1118282567e-03   5.0776455491e-03   1.7271013488e-28   7.3537356411e-10   3.5804687574e-32   6.7555609609e-01
   3.2500000000e-01   1.2312890476e-01   2.9999999999e+02  -7.0554821979e+05   2.0991369954e-02   1.0563492705e+00   9.5933111466e-04   1.2869366770e-27   4.4275901035e-28   1.9000935139e-01   5.9114307758e-24   6.4515267395e-03   1.2205480759e-09  -1.0587946429e-29  -1.1166653630e-31   1.6524167007e-18   1.1643914662e-01   8.3523435602e-03   5.2281685394e-03  -9.2510286243e-30   7.5717128762e-10   3.8282805956e-32   6.7256013005e-01
   3.3500000000e-01   1.2704377811e-01   3.0000000000e+02  -7.2760731001e+05   2.1591394395e-02   1.0530796538e+00   9.8675941315e-04   1.3555924533e-27  -2.5366665204e-24   1.8868839755e-01   6.0013912191e-24   6.6359127822e-03   1.2553430608e-09   2.1201132880e-31  -7.8861071686e-32   1.7113080301e-18   1.2016278382e-01   8.5911209778e-03   5.3776012222e-03   1.5352827499e-29   7.7881094675e-10   4.1000697086e-32   6.6955742218e-01
   3.4500000000e-01   1.3096756840e-01   3.0000000000e+02  -7.4967870275e+05   2.2186898763e-02   1.0498257765e+00   1.0139816689e-03   1.4573830964e-27   1.5255914325e-24   1.8736844677e-01   6.1006696618e-24   6.8189074322e-03   1.2898675364e-09   1.7457305768e-28  -1.0802307574e-30   1.7657465810e-18   1.2389677732e-01   8.8281024474e-03   5.5259072140e-03   3.7733127126e-29   8.0028726970e-10   4.6277612411e-32   6.6654787504e-01
   3.5500000000e-01   1.3490040344e-01   3.0000000000e+02  -7.7176205932e+05   2.2777738286e-02   1.0465875110e+00   1.0409912735e-03   1.6829607128e-27   1.9236009805e-24   1.8604956792e-01   6.3240359958e-24   7.0004661641e-03   1.3241129735e-09   1.0560457692e-27  -1.0027619382e-29   1.8170102078e-18   1.2764130107e-01   9.0632304032e-03   5.6730504449e-03   5.9292338054e-28   8.2159503024e-10   6.8655785181e-32   6.6353139056e-01
   3.6500000000e-01   1.3884241178e-01   3.0000000001e+02  -7.9385705252e+05   2.3363769464e-02   1.0433647297e+00   1.0677816759e-03   1.4800014043e-27   1.0046527178e-24   1.8473182883e-01   6.1465203114e-24   7.1805448450e-03   1.3580709258e-09  -8.8300258652e-28   7.3570661867e-30   1.9257208433e-18   1.3139652932e-01   9.2964477813e-03   5.8189951620e-03  -4.9507480939e-28   8.4272904829e-10   3.0088497701e-32   6.6050787017e-01
   3.7500000000e-01   1.4279372262e-01   2.9999999999e+02  -8.1596336676e+05   2.3944850082e-02   1.0401573057e+00   1.0943463829e-03   1.6726117750e-27   1.9064322936e-24   1.8341529630e-01   6.3780277580e-24   7.3590997395e-03   1.3917330315e-09   1.4382156625e-28  -7.1027643098e-31   1.9759964450e-18   1.3516263660e-01   9.5276980256e-03   5.9637059337e-03   7.5225901380e-29   8.6368419047e-10   5.3365212096e-32   6.5747721475e-01
   3.8500000000e-01   1.4675446587e-01   3.0000000000e+02  -8.3808069783e+05   2.4520839222e-02   1.0369651119e+00   1.1206789603e-03   1.7197499350e-27  -4.6805608447e-25   1.8210003609e-01   6.3864767854e-24   7.5360875143e-03   1.4250910136e-09  -2.0324122705e-28   2.3178383826e-30   2.0207047719e-18   1.3893979769e-01   9.7569250940e-03   6.1071476530e-03  -1.1214010744e-28   8.8445537062e-10   5.0186657786e-32   6.5443932467e-01
   3.9500000000e-01   1.5072477205e-01   2.9999999998e+02  -8.6020875310e+05   2.5091597281e-02   1.0337880222e+00   1.1467730331e-03   1.8929590592e-27  -6.6887039856e-25   1.8078611290e-01   6.5122700392e-24   7.7114652427e-03   1.4581366811e-09   5.1047331595e-28  -3.9543341980e-30   2.0318850772e-18   1.4272818761e-01   9.9840734637e-03   6.2492855413e-03   3.0560228472e-28   9.0503755035e-10   6.7075246087e-32   6.5139409983e-01
   4.2000000000e-01   1.6067473104e-01   3.0000000001e+02  -9.1555476687e+05   2.6505063116e-02   1.0259188803e+00   1.2113958955e-03   2.3044910645e-27  -5.3610486245e-25   1.7750482038e-01   6.7858847218e-24   8.1457763377e-03   1.5399494607e-09   2.2466981164e-27  -1.5957229580e-29   2.0376016270e-18   1.5222763269e-01   1.0546607790e-02   6.6012830924e-03   1.3234539856e-27   9.5600780981e-10   1.0761059340e-31   6.4376248129e-01
   4.6000000000e-01   1.7675479733e-01   3.0000000000e+02  -1.0042632350e+06   2.8675171444e-02   1.0135049365e+00   1.3106229079e-03   2.3800694240e-27   5.7329248510e-26   1.7227975825e-01   6.9776264776e-24   8.8125336999e-03   1.6653996518e-09   1.0789670878e-29  -3.3450624425e-31   2.5328772325e-18   1.6761599714e-01   1.1410325011e-02   7.1416898249e-03   1.9422795818e-29   1.0342569209e-09   7.9487359765e-32   6.3142907045e-01
   5.0000000000e-01   1.9300383136e-01   3.0000000000e+02  -1.0931136846e+06   3.0745468740e-02   1.0013177619e+00   1.4052977123e-03   2.8636463810e-27   2.8376566142e-26   1.6708334871e-01   7.2693009298e-24   9.4485767256e-03   1.7849117766e-09   8.5228138288e-28  -4.5177169361e-30   2.7532615444e-18   1.8320511829e-01   1.2234372859e-02   7.6572214432e-03   4.9525368041e-28   1.1089006353e-09   1.0914178085e-31   6.1896606134e-01
   5.4000000000e-01   2.0943051677e-01   3.0000000000e+02  -1.1820946668e+06   3.2707908953e-02   9.8934958705e-01   1.4950524766e-03   3.1291680304e-27  -1.0792152267e-25   1.6191905006e-01   7.4232229354e-24   1.0051433012e-02   1.8980197044e-09  -3.1809848432e-29   1.4788550482e-31   3.0988593712e-18   1.9900624424e-01   1.3015549286e-02   8.1458741780e-03  -2.4077167793e-29   1.1796487930e-09   1.0919196488e-31   6.0636679364e-01
