# time = 0
# Grid points = 4000
# Pressure (Pa) = 101325
#             1_pos             2_posf              3_rho            4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf             10_chi              11_hr            12_y_H2             13_y_H             14_y_O            15_y_O2            16_y_OH           17_y_H2O           18_y_HO            19_y_CH2        20_y_CH2(S)           21_y_CH3           22_y_CH4            23_y_CO           24_y_CO2           25_y_HCO          26_y_CH2O         27_y_CH2OH            28_y_N2            29_enth
  -7.4231250000E-01  -7.4250000000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.4193750000E-01  -7.4212500000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.4156250000E-01  -7.4175000000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.4118750000E-01  -7.4137500000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.4081250000E-01  -7.4100000000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.4043750000E-01  -7.4062500000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.4006250000E-01  -7.4025000000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.3968750000E-01  -7.3987500000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.3931250000E-01  -7.3950000000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
  -7.3893750000E-01  -7.3912500000E-01   1.1719839921E+00   1.8630700790E-05   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   3.0000000000E+02   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   2.3300000000E-01   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   7.6700000000E-01   1.9075768848E+03
