# L (m)  = 0.006
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
   8.0400000000e-04   8.1287436763e-02   1.8357008650e+03  -4.6775024620e+05   1.7975390639e-01   1.1992454472e-03   6.0223116638e-06   1.4920017876e-06   7.0641560716e-03   5.3417543604e-05   8.8928026167e-02   3.6280284963e-06   1.6208136320e-05   6.8501306764e-07   2.3437199299e-03   1.6745822307e-02   5.5682134880e-02   1.2120446878e-01   1.8537841426e-06   3.1214085620e-04   5.1547299875e-07   7.0643522166e-01
   8.2800000000e-04   8.3296317680e-02   1.8282055506e+03  -4.7554073668e+05   1.8019932764e-01   1.2044318644e-03   4.9724642720e-06   1.1369469875e-06   6.8328365365e-03   4.3943968127e-05   8.8861282763e-02   3.2469705295e-06   1.3399280777e-05   5.5878735712e-07   2.3040850470e-03   1.8830298578e-02   5.5825202097e-02   1.2084723819e-01   1.5129310256e-06   2.8765674140e-04   4.2330868484e-07   7.0493901621e-01
   8.5200000000e-04   8.5314547187e-02   1.8204554600e+03  -4.8367251266e+05   1.8067597474e-01   1.2082189028e-03   4.1851679449e-06   8.8965088868e-07   6.6294136523e-03   3.6800665896e-05   8.8779429745e-02   2.9206129747e-06   1.1216650252e-05   4.6172522546e-07   2.2561984153e-03   2.0946349815e-02   5.5928364253e-02   1.2049958047e-01   1.2545665675e-06   2.6530940613e-04   3.5235348681e-07   7.0342781279e-01
   8.7600000000e-04   8.7341736304e-02   1.8125122599e+03  -4.9206881545e+05   1.8117772853e-01   1.2109560248e-03   3.5835565210e-06   7.1217933912e-07   6.4487889715e-03   3.1284293141e-05   8.8686409489e-02   2.6419141673e-06   9.5013642393e-06   3.8613733323e-07   2.2040627560e-03   2.3087257396e-02   5.5999479268e-02   1.2016041889e-01   1.0550669568e-06   2.4504722720e-04   2.9699202673e-07   7.0190936073e-01
   9.0000000000e-04   8.9377640571e-02   1.8044219478e+03  -5.0067614350e+05   1.8170004090e-01   1.2128735611e-03   3.1138638036e-06   5.8110584484e-07   6.2870093869e-03   2.6924589451e-05   8.8583549411e-02   2.4038719817e-06   8.1337618992e-06   3.2637290764e-07   2.1502098570e-03   2.5248094546e-02   5.6043570485e-02   1.1982684928e-01   8.9810749566e-07   2.2673849149e-04   2.5311139774e-07   7.0037722951e-01
   9.2400000000e-04   9.1422115433e-02   1.7962193523e+03  -5.0945764528e+05   1.8223948183e-01   1.2141575987e-03   2.7390808799e-06   4.8171384329e-07   6.1411500740e-03   2.3406473815e-05   8.8473352246e-02   2.2001116752e-06   7.0268397879e-06   2.7838958628e-07   2.0962104041e-03   2.7425942569e-02   5.6065530602e-02   1.1949876648e-01   7.7244421137e-07   2.1022196596e-04   2.1777559587e-07   6.9883878705e-01
   9.4800000000e-04   9.3475083752e-02   1.7879312591e+03  -5.1838800384e+05   1.8279342325e-01   1.2149221777e-03   2.4337369850e-06   4.0455259913e-07   6.0088055420e-03   2.0515325246e-05   8.8356155752e-02   2.0250022444e-06   6.1178075977e-06   2.3930289868e-07   2.0429253416e-03   2.9618432287e-02   5.6068231154e-02   1.1917398356e-01   6.7023723707e-07   1.9532217353e-04   1.8889193671e-07   6.9728738696e-01
   9.7200000000e-04   9.5536513465e-02   1.7795785758e+03  -5.2744972231e+05   1.8335981978e-01   1.2152721291e-03   2.1803062207e-06   3.4342807450e-07   5.8881627335e-03   1.8102891109e-05   8.8233770451e-02   1.8737951135e-06   5.3614976865e-06   2.0705206898e-07   1.9908361012e-03   3.1824436608e-02   5.6054981663e-02   1.1885290369e-01   5.8596233372e-07   1.8187207893e-04   1.6496682974e-07   6.9573018601e-01
   9.9600000000e-04   9.7606402526e-02   1.7711778407e+03  -5.3663055195e+05   1.8393705620e-01   1.2152650591e-03   1.9665174039e-06   2.9416639363e-07   5.7776396935e-03   1.6063803459e-05   8.8106050265e-02   1.7424903791e-06   4.7249042977e-06   1.8013872024e-07   1.9401297218e-03   3.4042696703e-02   5.6027467638e-02   1.1853372398e-01   5.1563434344e-07   1.6971216386e-04   1.4491471382e-07   6.9416044250e-01
   1.0200000000e-03   9.9684769193e-02   1.7627422883e+03  -5.4592175605e+05   1.8452384050e-01   1.2149665502e-03   1.7836992316e-06   2.5389112822e-07   5.6760380487e-03   1.4321916411e-05   8.7974453140e-02   1.6278213531e-06   4.1837279996e-06   1.5746227077e-07   1.8908871510e-03   3.6272883265e-02   5.5988093421e-02   1.1821712064e-01   4.5634048192e-07   1.5870100026e-04   1.2793893727e-07   6.9258518488e-01
   1.0440000000e-03   1.0177164564e-01   1.7542826132e+03  -5.5531696609e+05   1.8511912765e-01   1.2144066280e-03   1.6255388194e-06   2.2055878738e-07   5.5822513674e-03   1.2820380796e-05   8.7838578733e-02   1.5270767390e-06   3.7196315755e-06   1.3819435853e-07   1.8430723142e-03   3.8514186151e-02   5.5937843121e-02   1.1790150882e-01   4.0589436806e-07   1.4870897275e-04   1.1343998437e-07   6.9099763398e-01
   1.0680000000e-03   1.0386707398e-01   1.7458075299e+03  -5.6481142671e+05   1.8572206443e-01   1.2136311544e-03   1.4873953454e-06   1.9268944843e-07   5.4954489618e-03   1.1516277936e-05   8.7699688712e-02   1.4380664819e-06   3.3186818244e-06   1.2170594379e-07   1.7966482854e-03   4.0766644513e-02   5.5878566435e-02   1.1758772017e-01   3.6264037940e-07   1.3962429616e-04   1.0096311349e-07   6.8940472947e-01
   1.0920000000e-03   1.0597110356e-01   1.7373241883e+03  -5.7440150428e+05   1.8633194870e-01   1.2126557874e-03   1.3657316054e-06   1.6917998280e-07   5.4148199301e-03   1.0376149084e-05   8.7557237242e-02   1.3589693712e-06   2.9700011367e-06   1.0750711364e-07   1.7515262704e-03   4.3029620974e-02   5.5810805833e-02   1.1727430324e-01   3.2529133188e-07   1.3134577508e-04   9.0154141867e-08   6.8779968330e-01
   1.1160000000e-03   1.0808378935e-01   1.7288384901e+03  -5.8408435708e+05   1.8694819876e-01   1.2115156251e-03   1.2578447715e-06   1.4919791382e-07   5.3397684571e-03   9.3738449203e-06   8.7412366506e-02   1.2883164669e-06   2.6650838364e-06   9.5214830267e-08   1.7076505302e-03   4.5303348025e-02   5.5736050928e-02   1.1696218342e-01   2.9284424384e-07   1.2378718216e-04   8.0736555247e-08   6.8618936618e-01
   1.1400000000e-03   1.1020519069e-01   1.7203553312e+03  -5.9385771828e+05   1.8757032994e-01   1.2102181305e-03   1.1615870705e-06   1.3209851573e-07   5.2696784026e-03   8.4882768682e-06   8.7264441054e-02   1.2248733058e-06   2.3970910013e-06   8.4522062082e-08   1.6649345150e-03   4.7587248764e-02   5.5654551985e-02   1.1664999669e-01   2.6449683452e-07   1.1687047564e-04   7.2488617949e-08   6.8456699641e-01
   1.1640000000e-03   1.1233537065e-01   1.7118787917e+03  -6.0371974314e+05   1.8819793645e-01   1.2087919424e-03   1.0752660301e-06   1.1737995289e-07   5.2041118542e-03   7.7025374050e-06   8.7114524726e-02   1.1676422622e-06   2.1605488788e-06   7.5183074700e-08   1.6233324340e-03   4.9881677584e-02   5.5567553955e-02   1.1633872747e-01   2.3961007746e-07   1.1052954469e-04   6.5233172998e-08   6.8293938652e-01
   1.1880000000e-03   1.1447439533e-01   1.7034122854e+03  -6.1366890675e+05   1.8883067706e-01   1.2072394156e-03   9.9749026462e-07   1.0464211015e-07   5.1425869903e-03   7.0026282197e-06   8.6961923763e-02   1.1157722514e-06   1.9509470198e-06   6.6996213794e-08   1.5827733272e-03   5.2186071021e-02   5.5475106266e-02   1.1602707238e-01   2.1766088898e-07   1.0470421392e-04   5.8824698928e-08   6.8129977007e-01
   1.2120000000e-03   1.1662233360e-01   1.6949586793e+03  -6.2370392692e+05   1.8946826373e-01   1.2055849734e-03   9.2713845280e-07   9.3566370462e-08   5.0847763514e-03   6.3771115227e-06   8.6807647578e-02   1.0685740222e-06   1.7646072028e-06   5.9797043804e-08   1.5432261339e-03   5.4500874918e-02   5.5378281539e-02   1.1571605391e-01   1.9822544892e-07   9.9343678988e-05   5.3144766864e-08   6.7965490767e-01
   1.2360000000e-03   1.1877925672e-01   1.6865203892e+03  -6.3382371239e+05   1.9011045249e-01   1.2038275477e-03   8.6326318631e-07   8.3892932660e-08   5.0302941181e-03   5.8163159458e-06   8.6650963005e-02   1.0254490686e-06   1.5984353157e-06   5.3447986888e-08   1.5046354747e-03   5.6825518095e-02   5.5276987040e-02   1.1540441270e-01   1.8095004854e-07   9.4401280589e-05   4.8094111866e-08   6.7799805386e-01
   1.2600000000e-03   1.2094523814e-01   1.6780994571e+03  -6.4402732026e+05   1.9075703605e-01   1.2019886241e-03   8.0508854293e-07   7.5411322724e-08   4.9788925625e-03   5.3122231077e-06   8.6492839862e-02   9.8591241226e-07   1.4498694134e-06   4.7835149212e-08   1.4669827013e-03   5.9160523825e-02   5.5172170402e-02   1.1509319601e-01   1.6554416237e-07   8.9837727156e-05   4.3590730202e-08   6.7633592120e-01
   1.2840000000e-03   1.2312035328e-01   1.6696976145e+03  -6.5431392828e+05   1.9140783777e-01   1.2000647137e-03   7.5194383751e-07   6.7946788573e-08   4.9302564869e-03   4.8579330233e-06   8.6332517673e-02   9.4953456027e-07   1.3167160971e-06   4.2861686407e-08   1.4302245491e-03   6.1505302637e-02   5.5063635926e-02   1.1478117767e-01   1.5176121515e-07   8.5616532448e-05   3.9564692611e-08   6.7466178910e-01
   1.3080000000e-03   1.2530467943e-01   1.6613163337e+03  -6.6468280941e+05   1.9206270672e-01   1.1980751511e-03   7.0327330465e-07   6.1355837976e-08   4.8841972052e-03   4.4476585516e-06   8.6170936345e-02   9.1596814186e-07   1.1971362820e-06   3.8446429317e-08   1.3943510729e-03   6.3860448088e-02   5.4952238366e-02   1.1446942077e-01   1.3939641256e-07   8.1707052613e-05   3.5957513580e-08   6.7298232461e-01
   1.3320000000e-03   1.2749829555e-01   1.6529568699e+03  -6.7513331653e+05   1.9272151366e-01   1.1960146672e-03   6.5858699401e-07   5.5517513995e-08   4.8404527154e-03   4.0763447379e-06   8.6007316181e-02   8.8489882923e-07   1.0895314899e-06   3.4519418800e-08   1.3593274226e-03   6.6225346372e-02   5.4837706098e-02   1.1415672501e-01   1.2827333044e-07   7.8080474032e-05   3.2718574348e-08   6.7129083480e-01
   1.3560000000e-03   1.2970128221e-01   1.6446202961e+03  -6.8566486622e+05   1.9338414765e-01   1.1939009631e-03   6.1747539629e-07   5.0331414033e-08   4.7988789804e-03   3.7397122622e-06   8.5842573746e-02   8.5607363962e-07   9.9254752648e-07   3.1021424438e-08   1.3251490202e-03   6.8600657206e-02   5.4720823422e-02   1.1384416318e-01   1.1824409689e-07   7.4712673705e-05   2.9805108134e-08   6.6959394290e-01
   1.3800000000e-03   1.3191372145e-01   1.6363075315e+03  -6.9627693031e+05   1.9405051331e-01   1.1917274232e-03   5.7957111931e-07   4.5711790962e-08   4.7592548660e-03   3.4339747101e-06   8.5675915746e-02   8.2925818911e-07   9.0499209725e-07   2.7900816286e-08   1.2917864083e-03   7.0985738446e-02   5.4601261958e-02   1.1353055570e-01   1.0917960902e-07   7.1580658894e-05   2.7179626235e-08   6.6788498576e-01
   1.4040000000e-03   1.3413569674e-01   1.6280193654e+03  -7.0696902493e+05   1.9472052849e-01   1.1895104739e-03   5.4456516349e-07   4.1586833924e-08   4.7214706926e-03   3.1559023913e-06   8.5508239995e-02   8.0426540371e-07   8.2584655078e-07   2.5113522555e-08   1.2592378365e-03   7.3381313244e-02   5.4479751604e-02   1.1321698067e-01   1.0097085071e-07   6.8665257058e-05   2.4810191419e-08   6.6617054389e-01
   1.4280000000e-03   1.3636729283e-01   1.6197564764e+03  -7.1774070601e+05   1.9539412234e-01   1.1872424611e-03   5.1217589536e-07   3.7894505712e-08   4.6853372490e-03   2.9026054928e-06   8.5338743618e-02   7.8091740305e-07   7.5420417544e-07   2.2620765687e-08   1.2274770373e-03   7.5786708109e-02   5.4355921124e-02   1.1290227560e-01   9.3521485923e-08   6.5947927149e-05   2.2668501340e-08   6.6444398562e-01
