1_pos,2_posf,3_rho,4_dvisc,5_uvel,6_vvel,7_wvel,8_temp,9_mixf,10_chi,11_hr,12_y_H2,13_y_H,14_y_O,15_y_O2,16_y_OH,17_y_H2O,18_y_HO2,19_y_CH2,20_y_CH2(S),21_y_CH3,22_y_CH4,23_y_CO,24_y_CO2,25_y_HCO,26_y_CH2O,27_y_CH2OH,28_y_N2,29_enth,30_progVar,hr_queried,temp_queried,CO_queried,OH_queried,CO2_queried
-0.025808539429,-0.025932813744,0.19886858852,5.5974093159e-05,1.1687035585,-0.015895377555,-0.015895377555,1608.0366704,0.088002150487,0.068535603568,9266520.6809,0.0012983969116,8.4591535266e-07,4.1133352762e-07,0.016153328615,6.5279589752e-06,0.11713880962,4.3311061907e-06,5.1775454764e-07,1.7819875964e-08,0.00073292484057,0.030071865847,0.03791721002,0.097063022045,1.5394073642e-07,0.00012430795575,2.1857904114e-08,0.69948730646,-893948.87601,0.25341743859660004,15602579.779698035,1627.9490643916201,0.0310347403356688,8.96163610378008e-06,0.10495951560554209
-0.025558610824,-0.025684265114,0.20287412689,5.5105928326e-05,1.1929296958,-0.045415462328,-0.045415462328,1574.7891124,0.090481419824,0.087058695324,9021900.9544,0.0012377761324,6.9907217721e-07,3.7715536975e-07,0.019468871243,5.1870566829e-06,0.11490942006,5.5785522313e-06,3.9236395079e-07,1.338662751e-08,0.00071763131134,0.033795092339,0.036970065256,0.095167682315,1.5225922856e-07,0.0001352967349,1.6643656427e-08,0.69758574811,-903555.48649,0.2482849437634,19029329.152396586,1584.8271656597972,0.03295130988010468,7.725540161837417e-06,0.09970268971561361
-0.02531000097,-0.025432956535,0.20732696789,5.4170502617e-05,1.2206652922,-0.077116538954,-0.077116538954,1539.2034989,0.093277063141,0.1038570574,8349446.8801,0.001182958609,5.6491460743e-07,3.3103124588e-07,0.022967294723,3.9789847965e-06,0.11245948529,6.9728167008e-06,2.8033285013e-07,9.4769352469e-09,0.00068521649763,0.037923525464,0.035883684202,0.093298220068,1.435403733e-07,0.00014578608001,1.1856731272e-08,0.69544153612,-914987.39888,0.24282434816899998,22407440.059978575,1537.633827166529,0.03531076329821756,6.653244832945537e-06,0.09376002413632417
-0.02506679196,-0.025187045406,0.21198564489,5.3221335327e-05,1.2510848814,-0.11008988182,-0.11008988182,1503.3859431,0.096283571005,0.1161546046,7429276.2349,0.0011370730618,4.5208022036e-07,2.8157093361e-07,0.026413207013,2.9908270997e-06,0.10994998458,8.4042559813e-06,1.9265086315e-07,6.4532004174e-09,0.00064014290273,0.042263962641,0.034742912825,0.091549076271,1.3021550502e-07,0.00015558012337,8.0667651437e-09,0.69313559446,-927832.37076,0.23737904673779997,18640801.961266126,1499.521511699062,0.03531450482541265,4.9318287584912235e-06,0.09056287589224814
-0.024789604204,-0.024946538514,0.21742574011,5.2146288527e-05,1.2891110548,-0.14951753009,-0.14951753009,1463.2228206,0.09994860426,0.12412883207,6277275.8324,0.0010954428345,3.4855884461e-07,2.276551255e-07,0.030156304759,2.1236649445e-06,0.10710824507,9.998186532e-06,1.2129019249e-07,4.0208750295e-09,0.00057915253755,0.047406379038,0.033432597723,0.089718318445,1.1247078019e-07,0.0001660440568,4.9946340848e-09,0.69032457469,-944091.44505,0.2313546040725,12733225.382864332,1462.1428867865493,0.03381604468902168,3.1975065250485216e-06,0.08881794540967305
-0.024454934451,-0.024632669895,0.22367538625,5.0940204122e-05,1.3388525903,-0.19863744488,-0.19863744488,1418.8779509,0.10459801126,0.12349853783,4967988.9156,0.0010639919147,2.5719802622e-07,1.7264991716e-07,0.034002164028,1.4046125646e-06,0.10398149305,1.1621814949e-05,6.8473688211e-08,2.2401749268e-09,0.00050175207466,0.053632526134,0.031974720375,0.087894438037,9.1255447846e-08,0.00017673686914,2.7697204229e-09,0.68675855651,-965655.84978,0.2249146433767,9150844.868561937,1418.8574179001373,0.03244174571573633,2.047209553397143e-06,0.08676100447118937
-0.023948444673,-0.024277199008,0.23155473517,4.9436353494e-05,1.4173318466,-0.27282738371,-0.27282738371,1365.0122938,0.11160901299,0.096189137363,3454559.9494,0.0010484893517,1.7155993475e-07,1.1469287436e-07,0.038008778593,7.9502758074e-07,0.10028093691,1.315761296e-05,3.0645647761e-08,9.8116133912e-10,0.00039821400024,0.062433150095,0.030223347183,0.086024166432,6.5565673477e-08,0.00018734592561,1.2408368753e-09,0.68138123418,-999734.04149,0.21757693987670002,6521737.656478397,1365.0787231005172,0.0310766327029016,1.2026022868673005e-06,0.08424414529524211
-0.023195419662,-0.023619690338,0.23497385636,4.8549144084e-05,1.5159529034,-0.36132883205,-0.36132883205,1337.3516201,0.11984459023,0.022826221153,2461959.8302,0.0010960737197,1.3101824393e-07,7.850770481e-08,0.037467792348,5.1836440731e-07,0.099026372247,1.2276558091e-05,1.7644051525e-08,5.3914668345e-10,0.00033076461191,0.071094418154,0.029455192402,0.086272751806,4.7872858143e-08,0.00017888087721,7.2948013615e-10,0.6750646826,-1043749.8281,0.2158503901747,5505685.18859677,1336.5492790900812,0.03095871171278192,8.88815431530708e-07,0.08347504689370235
-0.022528555357,-0.022771148986,0.22850234037,4.9377828436e-05,1.5387732307,-0.38316872125,-0.38316872125,1372.3922899,0.12128921647,0.00075628241578,2527057.5039,0.0011785441976,1.5735997135e-07,8.0133583067e-08,0.031230769092,6.3591102636e-07,0.10233559344,9.1324042915e-06,2.6455933898e-08,7.7698649783e-10,0.00036544759604,0.070717967315,0.030523051905,0.089533300162,4.7836864959e-08,0.00014856611468,1.0529633728e-09,0.67395667825,-1056233.9958,0.2235704897046,6634959.101418542,1369.5372668030877,0.032678288205747245,1.168511814467725e-06,0.0858719746183829
-0.022089427484,-0.022285961728,0.22237443663,5.0344682883e-05,1.5257768413,-0.37349963911,-0.37349963911,1410.3880611,0.11984867226,0.018277654246,2714162.6413,0.0012410610842,1.9361935493e-07,8.6761494022e-08,0.026185477276,8.3254709846e-07,0.10543691887,6.9315292667e-06,4.1203258742e-08,1.192217032e-09,0.00040701865914,0.067620650224,0.031572624484,0.09234070332,4.9363759294e-08,0.00012585628359,1.629600925e-09,0.67506155195,-1052809.51,0.23059130775819997,8694165.45201797,1404.6280500438043,0.03437235352722397,1.6534408380858695e-06,0.08793177630834115
