# L (m)  = 0.004
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
   7.9000000000e-04   1.1256078405e-01   1.8005865419e+03  -5.2947421312e+05   2.6413065239e-01   1.7147114557e-01   2.6493179563e-03   3.3534765876e-06   3.8766733778e-07   5.9881766268e-03   1.9430742219e-05   1.1982780892e-01   1.7357635330e-06   4.9141234168e-06   1.9450463187e-07   2.1890356978e-03   4.6852672572e-02   5.5957528246e-02   8.5695997273e-02   4.4808155699e-07   1.4295170430e-04   1.6801667214e-07   6.8066587863e-01
   8.4000000000e-04   1.1923115646e-01   1.7737277711e+03  -5.6073787259e+05   2.6240410218e-01   1.7331344277e-01   2.6295650186e-03   2.6776311942e-06   2.7515314571e-07   5.7746325227e-03   1.4578024159e-05   1.1903615168e-01   1.5489635720e-06   3.6353750008e-06   1.3873312408e-07   2.0535739400e-03   5.4072841099e-02   5.5675358546e-02   8.5063026927e-02   3.3450902413e-07   1.2183505442e-04   1.2382440433e-07   6.7554970299e-01
   9.2000000000e-04   1.3023104333e-01   1.7306906784e+03  -6.1222579286e+05   2.5941041291e-01   1.7637118591e-01   2.5931027739e-03   1.9290894589e-06   1.6810028549e-07   5.5137907847e-03   9.4965402266e-06   1.1767115433e-01   1.3436740215e-06   2.3231345357e-06   8.3229293685e-08   1.8476312678e-03   6.6001817695e-02   5.5125564079e-02   8.4020591732e-02   2.2182821229e-07   9.7913168763e-05   7.8805027926e-08   6.6711278977e-01
   1.0000000000e-03   1.4157235968e-01   1.6881665626e+03  -6.6524489932e+05   2.5622737359e-01   1.7951304710e-01   2.5536546785e-03   1.4222289225e-06   1.0669715832e-07   5.3059154785e-03   6.3088958312e-06   1.1622377724e-01   1.1938610452e-06   1.5066719627e-06   5.0617176184e-08   1.6536138592e-03   7.8307769130e-02   5.4506197685e-02   8.2943743991e-02   1.5221335196e-07   8.0535543243e-05   5.1088969631e-08   6.5841400012e-01
   1.0800000000e-03   1.5326499783e-01   1.6462247548e+03  -7.1984074858e+05   2.5288078100e-01   1.8273227989e-01   2.5124499715e-03   1.0675129205e-06   6.9756098294e-08   5.1336755343e-03   4.2504490475e-06   1.1470414844e-01   1.0803088922e-06   9.8876443285e-07   3.1096359653e-08   1.4743948118e-03   9.0990089556e-02   5.3834057674e-02   8.1830124922e-02   1.0749630919e-07   6.7683418215e-05   3.3628106912e-08   6.4944574666e-01
   1.1600000000e-03   1.6531868171e-01   1.6049016114e+03  -7.7605847193e+05   2.4938607066e-01   1.8602584338e-01   2.4701999595e-03   8.1306177118e-07   4.6675452722e-08   4.9858024187e-03   2.8930728863e-06   1.1311835050e-01   9.9220280656e-07   6.5525802584e-07   1.9256174765e-08   1.3115779664e-03   1.0405241056e-01   5.3119107501e-02   8.0678412704e-02   7.7879621947e-08   5.8047430822e-05   2.2424028797e-08   6.4020057113e-01
   1.2400000000e-03   1.7774313912e-01   1.5642172948e+03  -8.3394360077e+05   2.4575236371e-01   1.8939273258e-01   2.4272808568e-03   6.2704043962e-07   3.1825101268e-08   4.8547417854e-03   1.9845453990e-06   1.1146999340e-01   9.2309191652e-07   4.3806034435e-07   1.2005741245e-08   1.1654889225e-03   1.1750156063e-01   5.2367293987e-02   7.9487795466e-02   5.7769105664e-08   5.0743182094e-05   1.5129849696e-08   6.3067101230e-01
   1.3200000000e-03   1.9054820961e-01   1.5241821247e+03  -8.9354258191e+05   2.4198477640e-01   1.9283328719e-01   2.3838578471e-03   4.8888898922e-07   2.2040376705e-08   4.7353070539e-03   1.3695233220e-06   1.0976110584e-01   8.6887875317e-07   2.9523384498e-07   7.5305474820e-09   1.0355107959e-03   1.3134662212e-01   5.1582133381e-02   7.8257679340e-02   4.3810621564e-08   4.5154169346e-05   1.0319942933e-08   6.2084952323e-01
   1.4000000000e-03   2.0374392233e-01   1.4847989373e+03  -9.5490314567e+05   2.3808580383e-01   1.9634893616e-01   2.3399687873e-03   3.8486645403e-07   1.5464053866e-08   4.6238647769e-03   9.4943183373e-07   1.0799266681e-01   8.2676120436e-07   2.0046263333e-07   4.7485119298e-09   9.2046017482e-04   1.4559819690e-01   5.0765639948e-02   7.6987528286e-02   3.3922876920e-08   4.0839980150e-05   7.1097301093e-09   6.1072841157e-01
   1.4800000000e-03   2.1734056122e-01   1.4460641228e+03  -1.0180746065e+06   2.3405617648e-01   1.9994212915e-01   2.2955792409e-03   3.0556734753e-07   1.0968803352e-08   4.5178228025e-03   6.6039530324e-07   1.0616493534e-01   7.9464927731e-07   1.3703560552e-07   3.0076563286e-09   8.1889283965e-04   1.6026789514e-01   4.9918882986e-02   7.5676778916e-02   2.6781361956e-08   3.7479842716e-05   4.9423199502e-09   6.0029978955e-01
